name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
SES-9, NR (5/16), USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, 108.02, 35787, 35791, 0.00004743945539505206, 0.05, 1436.2, 5271, 2835, 12700, 2016-03-04, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Falcon 9, 2016-013A, 41380, All Ku-band. 57 transponders.  Asia-Pacific region, null, Space50, http://spaceflight101.com/falcon-9-ses-9/ses-9-satellite/, http://space50.org/objekt.php?mot=2016-013A, http://spaceflightnow.com/2016/03/05/tv-broadcasting-satellite-finally-launched-on-falcon-9/, null, null, null, 2016, 13, A, 41380, null, *, +, SES, 2016-01-04, AFETR, null, 0, null, 35796, 35777, 20.5325, null
Shijian 11-01 (SJ-11-01), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 686, 703, 0.0012031990940618586, 98.1, 98.7, null, null, null, 2009-11-12, 3 yrs., Chinese Academy of Space Technology (CAST)/ DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2009-061A, 36088, Monitor space environment; conduct several experiments., null, www.satellitedebris.net 12/12, http://www.planet4589.org/space/jsr/back/news.618, http://www.lib.cas.cz/space.40/2009/061A.HTM, http://spaceflightnow.com/news/n0911/12longmarch/, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-01 (SJ-11-01), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 686, 703, 0.0012031990940618586, 98.1, 98.7, null, null, null, 2009-11-12, 3 yrs., Chinese Academy of Space Technology (CAST)/ DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2009-061A, 36088, Monitor space environment; conduct several experiments., null, www.satellitedebris.net 12/12, http://www.planet4589.org/space/jsr/back/news.618, http://www.lib.cas.cz/space.40/2009/061A.HTM, http://spaceflightnow.com/news/n0911/12longmarch/, null, null, null, 2009, 61, A, 36088, null, *, +, PRC, 2009-01-12, JSC, null, 98, null, 700, 685, 2.28, null
Shijian 11-02 (SJ-11-02), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 686, 704, 0.0012738853503184713, 98.2, 98.7, null, null, null, 2011-07-29, null, Chinese Academy of Space Technology (CAST/DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2011-039A, 37765, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.globalsecurity.org/space/world/china/sj-12.htm, http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-039A, http://www.lib.cas.cz/space.40/2011/039A.HTM, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-02 (SJ-11-02), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 686, 704, 0.0012738853503184713, 98.2, 98.7, null, null, null, 2011-07-29, null, Chinese Academy of Space Technology (CAST/DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2011-039A, 37765, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.globalsecurity.org/space/world/china/sj-12.htm, http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-039A, http://www.lib.cas.cz/space.40/2011/039A.HTM, null, null, null, 2011, 39, A, 37765, null, *, +, PRC, 2011-01-29, JSC, null, 98.5, null, 697, 679, 2.3311, null
Shijian 11-03 (SJ-11-03), NR, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 688, 703, 0.0010614960016983937, 98.2, 98.7, null, null, null, 2011-07-06, null, Chinese Academy of Space Technology (CAST)/DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2011-030A, 37730, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/space.40/2011/030A.HTM, null, http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-030A, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-03 (SJ-11-03), NR, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 688, 703, 0.0010614960016983937, 98.2, 98.7, null, null, null, 2011-07-06, null, Chinese Academy of Space Technology (CAST)/DFH Satellite, China, Jiuquan Satellite Launch Center, Long March 2C, 2011-030A, 37730, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/space.40/2011/030A.HTM, null, http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-030A, null, null, null, 2011, 30, A, 37730, null, *, +, PRC, 2011-01-06, JSC, null, 97.9, null, 697, 684, 2.4, null
Shijian 11-05 (SJ-11-05), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 689, 704, 0.0010613457864572277, 98.1, 98.7, null, null, null, 2013-07-15, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2013-035A, 39202, Replacement for 11-04., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-05 (SJ-11-05), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 689, 704, 0.0010613457864572277, 98.1, 98.7, null, null, null, 2013-07-15, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2013-035A, 39202, Replacement for 11-04., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 2013, 35, A, 39202, null, *, +, PRC, 2013-01-15, JSC, null, 98.1, null, 699, 682, 2.305, null
Shijian 11-06 (SJ-11-06), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 688, 704, 0.0011321822813472968, 98.26, 98.69, null, null, null, 2014-03-31, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-014A, 39624, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-06 (SJ-11-06), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 688, 704, 0.0011321822813472968, 98.26, 98.69, null, null, null, 2014-03-31, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-014A, 39624, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 2014, 14, A, 39624, null, *, +, PRC, 2014-01-31, JSC, null, 98.3, null, 706, 687, 2.3567, null
Shijian 11-07 (SJ-11-07), NR (6/16), China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 687, 705, 0.001273705066515709, 98.12, 98.69, null, null, null, 2014-09-28, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-059A, 40261, Orbit suggests an earth observation role., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.spaceflight101.com/long-march-2c---shijian-11-07-launch.html, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-07 (SJ-11-07), NR (6/16), China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 687, 705, 0.001273705066515709, 98.12, 98.69, null, null, null, 2014-09-28, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-059A, 40261, Orbit suggests an earth observation role., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.spaceflight101.com/long-march-2c---shijian-11-07-launch.html, null, null, null, null, 2014, 59, A, 40261, null, *, +, PRC, 2014-01-28, JSC, null, 98.2, null, 701, 682, 2.255, null
Shijian 11-08 (SJ-11-08), NR (6/16), China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 690, 705, 0.0010611956137247967, 98.2, 98.6, null, null, null, 2014-10-27, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-066A, 40286, Orbit suggests an earth observation role., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 11-08 (SJ-11-08), NR (6/16), China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 690, 705, 0.0010611956137247967, 98.2, 98.6, null, null, null, 2014-10-27, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2C, 2014-066A, 40286, Orbit suggests an earth observation role., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 2014, 66, A, 40286, null, *, +, PRC, 2014-01-27, JSC, null, 98.1, null, 698, 678, 2.1591, null
Shijian 12 (SJ-12), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 583, 601, 0.001292731973570813, 97.7, 96.5, null, null, null, 2010-06-15, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2D, 2010-027A, 36596, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/027A.HTM, http://www.spacetoday.net/China/, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 12 (SJ-12), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 583, 601, 0.001292731973570813, 97.7, 96.5, null, null, null, 2010-06-15, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2D, 2010-027A, 36596, Conduct various technology and environmental experiments., null, www.satellitedebris.net 12/12, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/027A.HTM, http://www.spacetoday.net/China/, null, null, null, null, 2010, 27, A, 36596, null, *, +, PRC, 2010-01-15, JSC, null, 97.6, null, 585, 571, 3.26, null
Shijian 15 (SJ-15), NR, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 661, 673, 0.0008526360665056132, 98.06, 98.08, null, null, null, 2013-07-19, null, Chinese Academy of Space Technology (CAST), China, Taiyuan Launch Center, Long March 3C, 2013-037C, 39210, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.spaceflight101.com/long-march-4c-taiyuan-launch-july-19-2013.html, null, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 16 01 (SJ-16), China, China, Chinese Academy of Space Technology (CAST), Government, Technology Development, null, LEO, Polar, 0, 599, 616, 0.0012182013615191687, 74.98, 96.85, null, null, null, 2013-10-25, null, Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 4B, 2013-057A, 39358, Conducting space environment exploration and technological experiments., null, SC - ASCR, http://space50.kosmo.cz/s40/2013/I057A.HTM, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.spacedaily.com/reports/China_launches_experimental_satellite_Shijian_16_999.html, null, null, null, 1971, 18, A, 5007, null, *, D, PRC, 1971-01-03, JSC, 1979-01-17, 69.8, null, 162, 140, 0.8998, null
Shijian 6A (SJ-6A. Dong Fang Hong 60), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 579, 606, 0.0019389587073608617, 97.8, 96.5, null, null, null, 2004-09-08, 2 yrs., Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co., China, Taiyuan Launch Center, Long March 4B, 2004-035A, 28413, Monitor space radiation., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/knav/space.40/2004/035A.HTM, http://www.planet4589.org/space/jsr/back/news.535, http://www.spacenewsfeed.co.uk/2004/12September2004_34.html, http://www.hearsat.org/content/shi-jian-s-band-downlinks, http://books.google.com/books?id=qqqylOsynbkC&pg=PA103&lpg=PA103&dq=Shijian+satellites+operational&source=bl&ots=cayJAG1gcT&sig=rVnpXKqL73nuqT1bpAKb77hXEmo&hl=en&sa=X&ei=inLVUqLbI87LsAS09ILgCg&ved=0CFgQ6AEwBg#v=onepage&q=Shijian%20satellites%20operational&f=false, null, 2004, 35, A, 28413, null, *, +, PRC, 2004-01-08, TAISC, null, 97.8, null, 595, 574, 1.237, null
Shijian 6B (SJ-6B), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 587, 598, 0.0007899461400359066, 97.8, 96.5, null, null, null, 2004-09-08, 2 yrs., Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co., China, Taiyuan Launch Center, Long March 4B, 2004-035B, 28414, Monitor space radiation., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/www/space.40/2004/035B.HTM, http://www.planet4589.org/space/jsr/back/news.535, http://www.spacenewsfeed.co.uk/2004/12September2004_34.html, http://www.hearsat.org/content/shi-jian-s-band-downlinks, null, null, 2004, 35, B, 28414, null, *, +, PRC, 2004-01-08, TAISC, null, 97.8, null, 588, 582, 2.374, null
Shijian 6E (SJ6-03A. SJ-6E), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 581, 607, 0.0018667432510051695, 97.6, 96.6, null, null, null, 2008-10-25, 3 yrs., Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co., China, Taiyuan Launch Center, Long March 4B, 2008-053A, 33408, Monitor space environment; conduct several experiments., null, www.satellitedebris.net 12/12, http://www.spacenewsfeed.co.uk/2008/2_11_2008/2November2008_a.html, null, null, http://www.hearsat.org/content/shi-jian-s-band-downlinks, null, null, 2008, 53, A, 33408, null, *, +, PRC, 2008-01-25, TAISC, null, 97.7, null, 599, 572, 1.301, null
Shijian 6F (SJ6-03B. SJ-6F), China, China, Chinese Academy of Space Technology (CAST), Government, Space Science, null, LEO, Sun-Synchronous, 0, 578, 603, 0.0017958479994253287, 97.6, 96.5, null, null, null, 2008-10-25, 3 yrs., Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co., China, Taiyuan Launch Center, Long March 4B, 2008-053B, 33409, Monitor space environment; conduct several experiments., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/space.40/2008/I065B.HTM, null, null, http://www.hearsat.org/content/shi-jian-s-band-downlinks, null, null, 2008, 53, B, 33409, null, *, +, PRC, 2008-01-25, TAISC, null, 97.7, null, 595, 570, 2.3517, null
Sirius XM-5, USA, USA, Sirius XM Holdings, Commercial, Communications, null, GEO, null, -85.2, 35779, 35795, 0.0001897668240149916, 0.03, 1436.12, 5983, null, 18000, 2010-10-14, 15  yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton M, 2010-053A, 37185, Direct radio broadcasting., null, SC - ASCR , http://www.ilslaunch.com/sirius-xm-5-mission-control, http://www.lib.cas.cz/space.40/2010/053A.HTM, null, null, null, null, 2010, 53, A, 37185, null, *, +, US, 2010-01-14, TYMSC, null, 0, null, 35789, 35785, 12.6191, null
SLDCOM-3 (Satellite Launch Dispenser Communications System) (USA 119), USA, USA, National Reconnaissance Office (NRO), Military, Communications, null, Elliptical, Molniya, 0, 1200, 11600, 0.4072043852779953, 63.4, 240, null, null, null, 1996-05-12, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Titan IV, 1996-029A, 23893, Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations., null, GS, http://host.planet4589.org/space/jsr/back/news.461, www.globalsecurity.org/space/systems.sldcom.html, http://satobs.org/satintro.html, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, null, null, 1985, 92, B, 16116, M, *, null, US, 1985-01-03, AFETR, null, null, null, null, null, null, NEA
SLDCOM-3 (Satellite Launch Dispenser Communications System) (USA 119), USA, USA, National Reconnaissance Office (NRO), Military, Communications, null, Elliptical, Molniya, 0, 1200, 11600, 0.4072043852779953, 63.4, 240, null, null, null, 1996-05-12, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Titan IV, 1996-029A, 23893, Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations., null, GS, http://host.planet4589.org/space/jsr/back/news.461, www.globalsecurity.org/space/systems.sldcom.html, http://satobs.org/satintro.html, http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm, null, null, 1996, 29, A, 23893, null, *, +, US, 1996-01-12, AFWTR, null, null, null, null, null, null, NEA
SMAP (Soil Moisture Active Passive Satellite), NR, USA, National Aeronautics and Space Administration (NASA), Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 660, 686, 0.0018458043447394576, 98.13, 98.21, null, null, null, 2015-01-31, 3 yrs., Jet Propulsion Laboratory (NASA), USA, Vandenberg AFB, Delta 2, 2015-003A, 40376, SMAP provide the most accurate. highest-resolution global measurements of soil moisture ever obtained from space and will detect whether the ground is frozen or thawed. , null, SC - ASCR, http://www.space50.org/objekt.php?mot=2015-003A&jazyk=pp_en, http://claudelafleur.qc.ca/Spacecrafts-2015.html#SMAP, https://directory.eoportal.org/web/eoportal/satellite-missions/s/smap, null, null, null, 2015, 3, A, 40376, null, *, P, US, 2015-01-31, AFWTR, null, 98.1, null, 683, 681, 4.277, null
SMDC-ONE 1.2 (ORSES [Operationally Responsive Space Enabler Satellite]), USA, USA, US Army Space and Missile Defense Command, Military, Technology Development, null, LEO, Non-Polar Inclined, 0, 483, 789, 0.021838424207821866, 64.6, 97.4, 3, null, null, 2012-09-13, null, Miltec, USA, Vandenberg AFB, Atlas 5, 2012-048B, 38759, Mission unknown., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end, http://www.spaceflight101.com/nrol-36-launch.updates.html, null, null, null, null, 2013, 64, G, 39386, null, *, D, US, 2013-01-20, WLPIS, 2016-01-03, 40.5, null, 171, 163, 0.081, null
SMOS (Soil Moisture and Ocean Salinity satellite), ESA, ESA, Centre National d'Etudes Spatiales (CNES)/European Space Agency, Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 759, 760, 0.0000701311452416018, 98.4, 100, 658, 630, 1065, 2009-11-02, 3+ yrs., Thales Alenia Space, France, Plesetsk Cosmodrome, Breeze KM, 2009-059A, 36036, Mission to measure sea surface salinity and soil moisture on a global scale., null, www.satellitedebris.net 12/12, http://www.esa.int/esaLP/ESAMBA2VMOC_LPsmos_0.html, http://directory.eoportal.org/get_announce.php?an_id=7316, http://www.lib.cas.cz/space.40/2009/059A.HTM, null, null, null, 2009, 59, A, 36036, M, *, +, ESA, 2009-01-02, PLMSC, null, 98.5, null, 760, 758, 2.8692, null
SOCRATES  (Space Optical Communications Research Advanced TEchnology Satellite), Japan, Japan, National Institute of Information and Communications Technology (JPN), Commercial, Technology Development, null, LEO, Sun-Synchronous, 0, 618, 629, 0.0007864445556588261, 97.87, 97.17, 48, null, 100, 2014-05-24, null, Advanced Engineering Services Company. Ltd., Japan, Tanegashima Space Center, H-2A, 2014-029C, 39768, Development of new satellite bus., null, ZARYA, http://www.aes.co.jp/product/pdf/socrates_hp_e.pdf, https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/socrates, null, null, null, null, 2001, 49, A, 26957, null, *, -, IND, 2001-01-22, SRILR, null, 97.7, null, 559, 507, 3.2203, null
SOCRATES  (Space Optical Communications Research Advanced TEchnology Satellite), Japan, Japan, National Institute of Information and Communications Technology (JPN), Commercial, Technology Development, null, LEO, Sun-Synchronous, 0, 618, 629, 0.0007864445556588261, 97.87, 97.17, 48, null, 100, 2014-05-24, null, Advanced Engineering Services Company. Ltd., Japan, Tanegashima Space Center, H-2A, 2014-029C, 39768, Development of new satellite bus., null, ZARYA, http://www.aes.co.jp/product/pdf/socrates_hp_e.pdf, https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/socrates, null, null, null, null, 2014, 29, C, 39768, null, *, +, JPN, 2014-01-24, TANSC, null, 97.9, null, 620, 611, 0.332, null
SORCE (SOlar Radiation and Climate Experiment), USA, USA, NASA Earth Science Office/Laboratory for Atmospheric and Space Physics. Univ. of Colorado, Government/Civil, Space Science, null, LEO, Non-Polar Inclined, 0, 600, 633, 0.0023616975595791884, 40, 97, 315, 290, 348, 2003-01-25, 6 yrs., Orbital Sciences Corp., USA, Cape Canaveral, Pegasus XL, 2003-004A, 27651, Monitor Sun; improve accuracy of measurement of solar energy., null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn/spx591.html, http://www.orbital.com/NewsInfo/Publications/SORCEfact.pdf, http://lasp.colorado.edu/sorce/pdf/sorce_quick_facts.pdf, http://www.lib.cas.cz/knav/space.40/2003/004A.HTM, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, 2003, 4, A, 27651, M, *, +, US, 2003-01-25, ERAS, null, 40, null, 617, 585, 1.7809, null
Advanced Orion 6 (NRO L-15. USA 237), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 60, 35771, 35805, 0.0004032449357180132, 0, 23.94, 5000, null, null, 2012-06-29, null, National Reconnaissance Laboratory(?), USA, Cape Canaveral, Delta 4 Heavy, 2012-034A, 38528, ELINT., null, CalSky, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
Advanced Orion 6 (NRO L-15. USA 237), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 60, 35771, 35805, 0.0004032449357180132, 0, 23.94, 5000, null, null, 2012-06-29, null, National Reconnaissance Laboratory(?), USA, Cape Canaveral, Delta 4 Heavy, 2012-034A, 38528, ELINT., null, CalSky, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944, null, null, null, 1987, 43, E, 18009, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
Advanced Orion 6 (NRO L-15. USA 237), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 60, 35771, 35805, 0.0004032449357180132, 0, 23.94, 5000, null, null, 2012-06-29, null, National Reconnaissance Laboratory(?), USA, Cape Canaveral, Delta 4 Heavy, 2012-034A, 38528, ELINT., null, CalSky, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/, http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944, null, null, null, 2012, 34, A, 38528, M, *, +, US, 2012-01-29, AFETR, null, 1.4, null, 35970, 35604, null, NEA
SPROUT  (SPace Research On Unique Technology), Japan, Japan, Nihon University, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 614, 629, 0.001072731173567904, 97.87, 97.13, 7.1, null, null, 2014-05-24, null, Nihon University, Japan, Tanegashima Space Center, H-2A, 2014-029E, 39770, null, null, ZARYA, http://sat.aero.cst.nihon-u.ac.jp/sprout-e/1-Mission-e.html, http://amsat-uk.org/2014/05/21/sprout-amateur-radio-slow-scan-tv-satellite/, null, null, null, null, 2014, 29, E, 39770, null, *, +, JPN, 2014-01-24, TANSC, null, 97.9, null, 612, 601, 0.17, null
SRMSat (Sri Ramaswamy Memorial Satellite), India, India, SRM University, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 850, 868, 0.0012449854751694564, 20, 102.1, 10.9, null, null, 2011-10-12, 1 yr., SRM University, India, Satish Dhawan Space Center, PSLV, 2011-058D, 37841, To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus., null, www.satellitedebris.net 12/12, http://srmsat.in/, http://www.uk.amsat.org/2184, http://www.lib.cas.cz/space.40/2011/058D.HTM, http://www.amsat.org/amsat-new/index.php, null, null, 1970, 94, B, 4692, null, *, D, US, 1970-01-09, WLPIS, 1971-01-07, 37.4, null, 184, 167, null, null
SSOT (Sistema Satelital para la Observación de la Tierra), Chile, Chile, Chilean Air Force, Government/Military, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 622, 624, 0.000143000143000143, 98, 97.2, 117, null, null, 2011-12-17, null, Astrium, France, Guiana Space Center, Soyuz 2/Fregat, 2011-076E, 38011, Extremely high-quality satellite images with applications such as mapping. agriculture. town planning. and natural resource. risk and disaster management., null, www.satellitedebris.net 12/12, http://www.arianespace.com/news-mission-update/2011/vs02-success.asp, null, null, http://www.astrium.eads.net/en/programme/ssto-high-resolution-earth-observation-for-chile.html, null, null, 2011, 76, E, 38011, null, *, +, CHLE, 2011-01-17, FRGUI, null, 97.9, null, 624, 622, 0.7299, null
ST-2 (Singapore-Taiwan 2), NR, Singapore/Taiwan, Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd., Commercial, Communications, null, GEO, null, 87.99, 35783, 35791, 0.0000948834120074958, 0.02, 1436.12, 5090, null, null, 2011-05-20, 15 yrs., Mitsubishi Electric Corporation, Japan, Guiana Space Center, Ariane 5, 2011-022B, 37606, Will replace ST1. Six antennas. 41 Ku-band tarnsponders and 10 C-band transponders., null, JM/9_11, http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20110519000123&cid=1204&MainCatID=12, http://www.lib.cas.cz/space.40/2011/022B.HTM, http://www.planet4589.org/space/log/geo.log, http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html, null, null, 2011, 22, B, 37606, null, *, +, STCT, 2011-01-20, FRGUI, null, 0, null, 35796, 35778, 5.6234, null
