name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
SARAL (Satellite with ARGOS and ALTIKA), NR, India/France, Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES), Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 782, 785, 0.00020968756552736424, 98.5, 100.53, 407, null, 906, 2013-02-25, 5 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV, 2013-009A, 39086, Joint effort. ISRO and CNES., null, SC - ASCR, http://www.isro.org/satellites/saral.aspx, http://space50.kosmo.cz/s40/2013/INDEX1.HTM, null, null, null, null, 1999, 8, A, 25634, null, *, null, US, 1999-01-23, AFWTR, null, 98.5, null, 836, 820, 6.3919, null
SARAL (Satellite with ARGOS and ALTIKA), NR, India/France, Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES), Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 782, 785, 0.00020968756552736424, 98.5, 100.53, 407, null, 906, 2013-02-25, 5 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV, 2013-009A, 39086, Joint effort. ISRO and CNES., null, SC - ASCR, http://www.isro.org/satellites/saral.aspx, http://space50.kosmo.cz/s40/2013/INDEX1.HTM, null, null, null, null, 2013, 9, A, 39086, null, *, +, IND, 2013-01-25, SRILR, null, 98.5, null, 786, 783, 1.6825, null
SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1. USA 230), USA, USA, US Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, -96.84, 35778, 35795, 0.00020162964192947707, 6.45, 1436.11, 4500, null, null, 2011-05-07, 12 yrs., Lockheed Martin Space Systems, USA, Cape Canaveral, Atlas 5, 2011-019A, 37481, Defect in communications system; still has not entered service as of 2013. Uses infrared sensors to detect and track missile launches; equipped with both scanning and staring instruments.  Will eventually replace DSP system., null, SC - ASCR, http://www.aviationweek.com/aw/generic/story_channel.jsp?channel=defense&id=news/awx/2011/05/07/awx_05_07_2011_p0-320100.xml, http://www.planet4589.org/space/log/geo.log, http://www.lib.cas.cz/space.40/2011/019A.HTM, http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html, http://www.nasaspaceflight.com/2013/03/ula-atlas-v-launch-sbirsgeo/, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1. USA 230), USA, USA, US Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, -96.84, 35778, 35795, 0.00020162964192947707, 6.45, 1436.11, 4500, null, null, 2011-05-07, 12 yrs., Lockheed Martin Space Systems, USA, Cape Canaveral, Atlas 5, 2011-019A, 37481, Defect in communications system; still has not entered service as of 2013. Uses infrared sensors to detect and track missile launches; equipped with both scanning and staring instruments.  Will eventually replace DSP system., null, SC - ASCR, http://www.aviationweek.com/aw/generic/story_channel.jsp?channel=defense&id=news/awx/2011/05/07/awx_05_07_2011_p0-320100.xml, http://www.planet4589.org/space/log/geo.log, http://www.lib.cas.cz/space.40/2011/019A.HTM, http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html, http://www.nasaspaceflight.com/2013/03/ula-atlas-v-launch-sbirsgeo/, null, 1987, 43, E, 18009, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2. USA 241), USA, USA, US Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, null, 35770, 35790, 0.00023724792408066428, 6.45, 1436.11, 4500, null, null, 2013-03-19, 12 yrs., Lockheed Martin Space Systems, USA, Cape Canaveral, Atlas 5, 2013-011A, 39120, Expected to be operational before GEO 1., null, Estimated, http://www.afspc.af.mil/news/story.asp?id=123341934, http://www.spacedaily.com/reports/SBIRS_GEO_2_launches_improves_space_based_capabilities_999.html, null, http://www.nasaspaceflight.com/2013/03/ula-atlas-v-launch-sbirsgeo/, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2. USA 241), USA, USA, US Air Force, Military, Earth Observation, Infrared Imaging, GEO, null, null, 35770, 35790, 0.00023724792408066428, 6.45, 1436.11, 4500, null, null, 2013-03-19, 12 yrs., Lockheed Martin Space Systems, USA, Cape Canaveral, Atlas 5, 2013-011A, 39120, Expected to be operational before GEO 1., null, Estimated, http://www.afspc.af.mil/news/story.asp?id=123341934, http://www.spacedaily.com/reports/SBIRS_GEO_2_launches_improves_space_based_capabilities_999.html, null, http://www.nasaspaceflight.com/2013/03/ula-atlas-v-launch-sbirsgeo/, null, null, 1987, 43, F, 18010, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
SBSS-1 (Space Based Space Surveillance Satellite. SBSS Block 10 SV1. USA 216), USA, USA, Strategic Space Command/Space Surveillance Network, Military, Space Observation, null, LEO, Sun-Synchronous, 0, 631, 634, 0.00021420921099607284, 98.02, 97.36, 1031, null, null, 2010-09-26, null, Boeing/Ball Aerospace, USA, Vandenberg AFB, Minotaur 4, 2010-048A, 37168, Designed to track and detect other spacecraft in orbit., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/048A.HTM&act=print, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/048A.HTM&act=print, http://www.globalsecurity.org/space/systems/sbss.htm, http://www.nasaspaceflight.com/2010/09/live-minotaur-first-space-based-space-surveillance-satellite/, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
SBSS-1 (Space Based Space Surveillance Satellite. SBSS Block 10 SV1. USA 216), USA, USA, Strategic Space Command/Space Surveillance Network, Military, Space Observation, null, LEO, Sun-Synchronous, 0, 631, 634, 0.00021420921099607284, 98.02, 97.36, 1031, null, null, 2010-09-26, null, Boeing/Ball Aerospace, USA, Vandenberg AFB, Minotaur 4, 2010-048A, 37168, Designed to track and detect other spacecraft in orbit., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/048A.HTM&act=print, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/048A.HTM&act=print, http://www.globalsecurity.org/space/systems/sbss.htm, http://www.nasaspaceflight.com/2010/09/live-minotaur-first-space-based-space-surveillance-satellite/, null, null, 1987, 15, A, 17506, null, *, null, US, 1987-01-12, AFWTR, null, null, null, null, null, null, NEA
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1017, 1203, 0.012433155080213905, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004A, 28537, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004A.HTM, null, 1977, 112, F, 10594, null, *, null, US, 1977-01-08, AFWTR, null, 63.3, null, 1485, 372, null, null
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1017, 1203, 0.012433155080213905, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004A, 28537, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004A.HTM, null, 1986, 14, H, 16631, null, *, null, US, 1986-01-09, AFWTR, null, null, null, null, null, null, NEA
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1017, 1203, 0.012433155080213905, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004A, 28537, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004A.HTM, null, 2005, 4, A, 28537, null, *, +, US, 2005-01-03, AFETR, null, 63.4, null, 1344, 868, null, NEA
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1203, 0.012500835617354102, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004B, 28541, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004C.HTM, null, 1977, 112, F, 10594, null, *, null, US, 1977-01-08, AFWTR, null, 63.3, null, 1485, 372, null, null
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1203, 0.012500835617354102, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004B, 28541, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004C.HTM, null, 1986, 14, H, 16631, null, *, null, US, 1986-01-09, AFWTR, null, null, null, null, null, null, NEA
SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3. USA 181. NRO L23) , USA, USA, National Reconnaissance Office/US Navy, Military, Earth Observation, Electronic Intelligence, LEO, Non-Polar Inclined, 0, 1016, 1203, 0.012500835617354102, 63.4, 107.4, 5.000+, null, null, 2005-02-03, null, Lockheed Martin, USA, Cape Canaveral, Atlas 3B, 2005-004B, 28541, ELINT system; wide area ocean surveillance. primarily for the Navy., null, SC - ASCR, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx616.html, http://satobs.org/noss.html, http://www.spacenewsfeed.co.uk/2005/6February2005_25.html, http://www.lib.cas.cz/www/space.40/2005/004C.HTM, null, 2005, 4, A, 28537, null, *, +, US, 2005-01-03, AFETR, null, 63.4, null, 1344, 868, null, NEA
