name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
TacSat 4, USA, USA, Naval Research Laboratory, Military, Technology Development, null, Elliptical, Molniya, 0, 658, 11836, 0.4429737655544107, 63.64, 235.16, 450, null, 1000, 2011-09-27, null, Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory, USA, Kodiak Launch Complex, Minotaur 4, 2011-052A, 37818, 10 Ultra High Frequency (UHF) channels; allows forward deployed troops to communicate using existing hand-held radios without the need to stop and point an antenna towards the satellite, null, null, http://www.nrl.navy.mil/media/news-releases/2011/nrl-tacsat4-launches-to-augment-communications-needs, http://www.onr.navy.mil/Media-Center/Fact-Sheets/TacSat-Tactical-Microsatellite.aspx, http://www.lib.cas.cz/space.40//2011/052A.HTM, null, null, null, 2011, 52, A, null, *, +, TACSAT 4, US, 2011-01-27, KODAK, null, 63.2, null, 12223, 528, 6.3594, null
BARS-M (Cosmos 2503), Russia, Russia, Ministry of Defense, Military, Earth Observation, Electronic Intelligence, LEO, Sun-Synchronous, 0, 570, 586, 0.0011514104778353484, 97.7, 96.1, 4000, null, null, 2015-02-27, 5 yrs., Progress Rocket and Space Center, Russia, Plesetsk Cosmodrome, Soyuz-2.1b, 2015-009A, 40420, Electronic intelligence gathering (ELINT)., null, Space50, http://russianforces.org/blog/2015/02/launch_of_an_optical_reconnais.shtml, http://www.russianspaceweb.com/liana.html, null, null, null, null, 2015, 9, A, null, *, +, COSMOS 2503, CIS, 2015-01-27, PLMSC, null, 97.9, null, 577, 565, 5.529, null
TacSat 6, NR, USA, Operational Responsive Space (ORS) Office, Military, Technology Development, null, LEO, Polar, 0, 443, 886, 0.03148766792238254, 120.3, 98, null, null, null, null, null, Air Force Research Laboratory (AFRL), USA, Vandenberg AFB, Atlas 5, 2013-072M, 39473, null, null, ZARYA estimated, http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 72, M, null, *, +, TACSAT 6, US, 2013-01-06, AFWTR, null, null, null, null, null, null, NEA
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement), Germany, Germany, German Aerospace Center (DLR)/Astrium, Government, Earth Observation, Radar Imaging, LEO, Sun-Synchronous, 0, 507, 510, 0.00021807080031983718, 97.4, 94.8, 1350, null, null, 2010-06-21, 5 yrs., EADS Astrium, France/UK/Germany/Spain, Baikonur Cosmodrome, Dnepr, 2010-030A, 36605, Will survey all 150 million square kilometers of earth surface. Works with TerraSAR-X for first three years., null, www.satellitedebris.net 12/12, http://www.lib.cas.cz/space.40/2010/030A.HTM, http://www.nasaspaceflight.com/2010/06/live-germanys-tandem-x-launch-via-dnepr/, null, null, null, null, 2010, 30, A, null, *, +, TANDEM-X, GER, 2010-01-21, TYMSC, null, 97.4, null, 510, 507, 2.487, null
Tango (part of Cluster quartet. Cluster 2 FM8), ESA, ESA, European Space Agency (and 250 international scientific investigators), Government, Space Science, null, Elliptical, Deep Highly Eccentric, 0, 17313, 120961, 0.6863469612088945, 90.7, 3442, 1200, 478, 220, 2000-08-09, 4 yrs., Dornier Systems (Astrium) and 35 subcontractors, International, Baikonur Cosmodrome, Soyuz, 2000-045B, 26464, Collection of four spacecraft flying in formation around the earth. relaying detailed information about solar wind's affect on our planet in three dimensions., null, JMSatcat304, http://perso.wanadoo.fr/eurospace/espdatabase/, http://nssdc.gsfc.nasa.gov/spacewarn/spx562.html, http://www.esa.int/esaSC/SEMYN5T1VED_index_0.html, null, null, null, 2000, 45, B, M, *, +, CLUSTER II-FM8 (TANGO), ESA, 2000-01-09, TYMSC, null, 131.2, null, 96355, 36439, 1.5887, null
TDRS-10 (Tracking and Data Relay Satellite. TDRS-J), USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, -40.75, 35768, 35802, 0.00040327363302099397, 1.64, 1436.04, 3180, 1600, 2.300 (EOL), 2002-12-04, 11 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 2A, 2002-055A, 27566, Tracking and communications with space shuttle. other missions., null, JM/12_08, null, http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 2002, 55, A, null, *, +, TDRS 10, US, 2002-01-05, AFETR, null, 6.2, null, 35826, 35745, 5.6234, null
TDRS-11 (Tracking and Data Relay Satellite. TDRS K), USA, USA, National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center, Government, Communications, null, GEO, null, -171, 35732, 35844, 0.001328336258835808, 7, 1436.18, 3454, 1600, 2.300 (EOL), 2013-01-31, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 5, 2013-004A, 39070, New generation of tracking and commmunication satellites., null, SC - ASCR, http://www.space.com/19559-nasa-launches-relay-satellite-tdrs-k.html, http://www.spaceflight101.com/tdrs-k-launch-upates.html, http://space50.kosmo.cz/s40/2013/INDEX1.HTM, null, null, null, 2013, 4, A, M, *, +, TDRS 11, US, 2013-01-31, AFETR, null, 4.5, null, 35807, 35769, 25.1189, null
TDRS-12 (Tracking and Data Relay Satellite. TDRS L), USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, null, 35780, 35785, 0.00005930846331771544, 6.99, 1435.88, 3454, 1600, 3.500 (EOL), 2014-01-23, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 5, 2014-004A, 39504, New generation of tracking and commmunication satellites., null, SC - ASCR, http://www.nasaspaceflight.com/2014/01/ula-atlas-v-launch-tdrs-l/, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://space50.kosmo.cz/s40/2014/I004A.HTM, null, null, null, 2014, 4, A, null, *, +, TDRS 12, US, 2014-01-24, AFETR, null, 5.2, null, 35787, 35782, 7.9433, null
TDRS-3 (Tracking and Data Relay Satellite. TDRS-C) , USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, 84.41, 35693, 35878, 0.002194256977144145, 11.53, 1436.06, 3180, 1600, 1800, 1988-09-29, 10 yrs., TRW Defense and Space Systems Group, USA, Cape Canaveral, Space Shuttle (STS 26), 1988-091B, 19548, Backup; still partially operational., null, JM/12_08, null, http://amanda.physics.wisc.edu/data/comms-summary.shtml, http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1988-091B, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 1988, 91, B, null, *, +, TDRS 3, US, 1988-01-29, AFETR, null, 14.4, null, 35937, 35632, 38.9782, null
TDRS-5 (Tracking and Data Relay Satellite. TDRS-E), USA, USA, SES Americom (SES [Société Européenne des Satellites (SES)]), Government/Commercial, Communications, null, GEO, null, -167.14, 35773, 35796, 0.0002728059874983691, 9.4, 1436.99, 3180, 1600, 1800, 1991-08-02, 10 yrs., TRW Defense and Space Systems Group, USA, Cape Canaveral, Space Shuttle (STS 43), 1991-054B, 21639, Used by South Pole station., null, JM/12_08, http://www.friends-partners.ru/partners/mwade/craft/tdrs.htm, http://ses-americom.com/satellites/tdrs_5.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 1991, 54, B, null, *, +, TDRS 5, US, 1991-01-02, AFETR, null, 14.7, null, 35888, 35679, 20.8608, null
TDRS-6 (Tracking and Data Relay Satellite. TDRS-F), USA, USA, NASA/SES Americom (SES [Société Européenne des Satellites (SES)]), Government/Commercial, Communications, null, GEO, null, -171.35, 35773, 35787, 0.000166073546856465, 8.74, 1435.7, 3180, 1600, 1800, 1993-01-13, 10 yrs., TRW Defense and Space Systems Group, USA, Cape Canaveral, Space Shuttle (STS 54), 1993-003B, 22314, Tracking and communications with space shuttle. other missions; leased access to C-band by Americom., null, JM/12_08, http://www.worldsat.net/610.html, http://ses-americom.com/satellites/tdrs_6.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 1993, 3, B, null, *, +, TDRS 6, US, 1993-01-13, AFETR, null, 14.3, null, 35809, 35762, 28.6701, null
TDRS-7 (Tracking and Data Relay Satellite. TDRS-G), USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, -150.53, 35767, 35803, 0.0004269956114339936, 10.6, 1436.04, 3180, 1600, 1800, 1995-07-13, 10 yrs., TRW Defense and Space Systems Group, USA, Cape Canaveral, Space Shuttle (STS 70), 1995-035B, 23613, Tracking and communications with space shuttle. other missions., null, JM/12_08, null, http://nssdc.gsfc.nasa.gov/spacewarn/spx501.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 1995, 35, B, null, *, +, TDRS 7, US, 1995-01-13, AFETR, null, 14.4, null, 35945, 35629, 22.3872, null
BARS-M (Cosmos 2515), NR (6/16), Russia, Ministry of Defense, Military, Earth Observation, Electronic Intelligence, LEO, Sun-Synchronous, 0, 549, 594, 0.003241374342721314, 97.62, 96.1, 4000, null, null, 2016-03-24, 5 yrs., Progress Rocket and Space Center, Russia, Plesetsk Cosmodrome, Soyuz 2.1a, 2016-020A, 41394, null, null, Space50, http://russianforces.org/blog/2016/03/cosmos-2515_second_bars-m_sate.shtml, http://spaceflightnow.com/2016/03/24/soyuz-launcher-puts-russian-military-spy-satellite-in-orbit/, null, null, null, null, 2016, 20, A, null, *, +, COSMOS 2515, CIS, 2016-01-24, PLMSC, null, 97.7, null, 595, 547, 5.618, null
TDRS-8 (Tracking and Data Relay Satellite. TDRS-H), USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, 88.76, 35768, 35808, 0.00047440580672707437, 0.9, 1436.2, 3180, 1600, 2.300 (EOL), 2000-06-30, 11 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 2A, 2000-034A, 26388, Tracking and communications with space shuttle. other missions; not fully functional., null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/spx560.html, http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, http://www.spaceandtech.com/digest/flash-articles/flash2000-035.shtml, null, 2000, 34, A, null, *, +, TDRS 8, US, 2000-01-30, AFETR, null, 8.6, null, 35851, 35722, 26.766, null
TDRS-9 (Tracking and Data Relay Satellite. TDRS-I), USA, USA, National Aeronautics and Space Administration (NASA), Government, Communications, null, GEO, null, -62.43, 35768, 35809, 0.00048626018477887023, 0.02, 1436.11, 3180, 1600, 2.300 (EOL), 2002-03-08, 11 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Atlas 2A, 2002-011A, 27389, Tracking and communications with space shuttle. other missions. In storage., null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html, http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html, http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html, http://nmsp.gsfc.nasa.gov/tdrss/tconst.html, null, null, 2002, 11, A, null, *, +, TDRS 9, US, 2002-01-08, AFETR, null, 6.6, null, 35892, 35680, 11.5324, null
TechDemoSat-1, United Kingdom, United Kingdom, Technology Strategy Board, Government, Technology Development, null, LEO, Sun-Synchronous, 0, 625, 631, 0.00042869391254644185, 98.4, 97.27, 150, null, null, 2014-07-08, null, Surrey Satellite Technology Ltd. (SSTL), United Kingdom, Baikonur Cosmodrome, Soyuz-2.1b, 2014-037H, 40076, Carrying eight technology tests/experiments including measurement of sea state using radio waves reflected off the ocean surface. monitoring the space environment in the vicinity of the satellte for research into space weather. and activaion of a deOrbitSail., null, ZARYA, http://www.sstl.co.uk/Missions/TechDemoSat-1--Launched-2014/TechDemoSat-1/TechDemoSat-1--The-Mission, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 37, H, null, *, +, TDS 1, UK, 2014-01-08, TYMSC, null, 98.4, null, 621, 611, 0.5187, null
TecSAR (Ofeq 8. Polaris), NR, Israel, Defense Ministry, Military, Earth Observation, Radar Imaging, LEO, Non-Polar Inclined, 0, 405, 580, 0.012750455373406194, 41.03, 94.5, 300, 260, null, 2008-01-21, null, Israel Aerospace Industries (IAI), Israel, Satish Dhawan Space Center, PSLV C10, 2008-002A, 32476, Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR)., null, null, http://www.iai.co.il/Default.aspx?docID=32812&amp;FolderID=15911&amp;lang=en&amp;res=0&amp;pos=0, http://nssdc.gsfc.nasa/gov/spacewarn/spx651.html, http://www.williambowles.info/isrl-pal/vtjp/2008/0108/vtjp_210108.html, null, null, null, 2008, 2, A, null, *, +, TECSAR, ISRA, 2008-01-21, SRILR, null, 41, null, 504, 397, null, NEA
TeLEOS 1, NR (1/16), Singapore, AgilSpace, Commercial, Earth Observation, Optical Imaging, LEO, Equatorial, 0, 535, 550, 0.00108499095840868, 15, 95.5, 400, null, null, 2015-12-16, 5 yrs., ST Electronics Ltd., Singapore, Satish Dhawan Space Center, PSLV C29, 2015-077D, 41169, Offers 1 m high-resolution satellite imagery with an average revisit time of 12 to 16 hours., null, prehled-druzic, https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/teleos-1, http://prehled-druzic.blogspot.com/2015/12/2015-077.html, http://spaceflightnow.com/2015/12/16/pslv-set-for-commercial-launch-with-six-singaporean-satellites/, null, null, null, 2015, 77, D, null, *, +, TELEOS 1, SING, 2015-01-16, SRILR, null, 15, null, 543, 529, 2.6853, null
Telkom 1 , Indonesia, Indonesia, PT Telkomunikasi, Commercial, Communications, null, GEO, null, 108.01, 35778, 35796, 0.00021348767701686553, 0.02, 1436.13, 2763, 1.700 (BOL), 4000, 1999-08-12, 15 yrs., Lockheed Martin Missiles and Space, USA, Guiana Space Center, Ariane 44P, 1999-042A, 25880, TV broadcasting in Indonesia., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx550.html, http://www.sat-address.com/tt/TelkomVision.html, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://www.lib.cas.cz/www/space.40/1999/042A.HTM, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, 1999, 42, A, null, *, -, TELKOM 1, INDO, 1999-01-12, FRGUI, null, 1.3, null, 35861, 35696, 19.9526, null
Telkom 2, Indonesia, Indonesia, PT Telkomunikasi, Commercial, Communications, null, GEO, null, 118.02, 35781, 35793, 0.00014232511801124368, 0.04, 1436.1, 1930, 899, null, 2005-11-16, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5 ECA, 2005-046A, 28902, 24 C-band transponders; internet. data. voice and video services to Indonesia., null, JM/12_08, http://english.people.com.cn/200511/18/eng20051118_222343.html, http://www.orbital.com/Template.php?Section=News&NavMenuID=32&template=PressReleaseDisplay.php&PressReleaseID=533, http://www.orbital.com/SatellitesSpace/GEO/TELKOM/, http://www.lib.cas.cz/www/space.40/2005/046B.HTM, null, null, 2005, 46, A, null, *, +, TELKOM 2, INDO, 2005-01-16, FRGUI, null, 0, null, 35792, 35781, 25.1189, null
Telstar 11N, NR, Canada, Telesat Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -37.05, 35774, 35801, 0.00032022771748799146, 0.04, 1436.13, 4010, null, null, 2009-02-26, 15 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SLB, 2009-009A, 34111, 39 Ku-band transponders; North America. Europe. Africa. across Atlantic., null, SC - ASCR, http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html, http://www.telesat.ca/File/B594215A79394AD69A24FA7A237275E7, null, null, null, null, 2009, 9, A, null, *, +, TELSTAR 11N, CA, 2009-01-26, TYMSC, null, 0, null, 35799, 35776, 17.6011, null
Telstar 12 (Orion 2), USA, Multinational, Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) , Commercial, Communications, null, GEO, null, -14.99, 35773, 35799, 0.0003083784040231521, 0.05, 1436.09, 3878, 1900, 10600, 1999-10-19, 13 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 44LP, 1999-059A, 25949, Voice and video communications to the Americas. Europe. and Africa, null, JM/12_08, http://www.eutelsat.com/satellites/4_1.html, http://www.loralglobalalliance.com/fleet/loral_skynet/lor_foot_us.asp.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx552.html, null, null, null, 1999, 59, A, null, *, +, TELSTAR 12 (ORION 2), US, 1999-01-19, FRGUI, null, 2.4, null, 35800, 35773, 30.1307, null
Telstar 12V (Telstar 12 Vantage), NR (6/16), Canada, Telesatd Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -15, 35645, 35727, 0.0009748906220277725, 0.1, 1436.1, 4900, null, null, 2015-11-24, 15 yrs., Airbus Defense and Space, France/UK/Germany/Spain, Tanegashima Space Center, H-2A, 2015-068A, 41036, Only second time Japan has successfully launched a commercial geosynchronous satellite into orbit., null, SC - ASCR, http://www.nasaspaceflight.com/2015/11/japanese-h-iia-telstar-12v-launch/, http://prehled-druzic.blogspot.cz/2015/11/2015-068.html#2015068A, null, null, null, null, 2015, 68, A, null, *, +, TELSTAR 12V, CA, 2015-01-24, TANSC, null, 0.1, null, 35796, 35777, 29.9526, null
BeeSat-1 (Berlin Experimental and Educational Satellite 1), Germany, Germany, Institut für Luft- und Raumfahrt, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 709, 718, 0.0006352791699018846, 98.3, 99, 1, null, null, 2009-09-23, 1 yr., Technische Universität Berlin, Germany, Satish Dhawan Space Center, PSLV, 2009-051C, 35933, Verify the behavior of new micro reaction wheels for picosatellites., null, www.satellitedebris.net 12/12, http://www.raumfahrttechnik.tu-berlin.de/beesat/, http://www.amsat.org/amsat-new/satellites/satInfo.php?satID=129&retURL=satellites/all_oscars.php, http://www.springerlink.com/content/q3r417hl51v8061p/, null, null, null, 2009, 51, C, null, *, +, BEESAT-1, GER, 2009-01-23, SRILR, null, 98.6, null, 709, 701, 0.029, null
Telstar 14R (Estrela do Sul 2), Brazil, Canada, Telesat Canada Ltd. (BCE. Inc.), Commercial, Communications, null, GEO, null, -63, 35783, 35791, 0.0000948834120074958, 0.02, 1436.1, 4970, 2150, 12000, 2011-05-20, 15 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton, 2011-021A, 37602, Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels., null, SC - ASCR, http://www.spacenews.com/launch/110523-proton-lofts-telstar-14r.html, http://www.planet4589.org/space/log/geo.log, http://www.lib.cas.cz/space.40/2011/021A.HTM, null, null, null, 2011, 21, A, null, *, +, TELSTAR 14R, CA, 2011-01-20, TYMSC, null, 0, null, 35802, 35771, 12.5893, null
Telstar 18 (Apstar 5), NR, Multinational, Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd., Commercial, Communications, null, GEO, null, 138.04, 35778, 35795, 0.00020162964192947707, 0.01, 1436.1, 4640, 2500, 16.000 (EOL), 2004-06-29, 13 yrs., Space Systems/Loral, USA, Sea Launch (Odyssey), Zenit 3SL, 2004-024A, 28364, 54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean, null, JM/12_08, http://www.loralglobalalliance.com/fleet/loral_skynet/lor_overview_us.asp.html, http://www.intelsat.com/news/releases/press/2003-26.asp, null, http://www.spacenewsfeed.co.uk/2004/29August2004_4.html, http://www.lib.cas.cz/knav/space.40/2004/024A.HTM, null, 2004, 24, A, null, *, +, APSTAR 5 (TELSTAR 18), PRC, 2004-01-29, SEAL, null, 0.5, null, 35798, 35775, 25.1188, null
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band), Germany, Germany, German Aerospace Center (DLR)/Infoterra, Government/Commercial, Earth Observation, Radar Imaging, LEO, Sun-Synchronous, 0, 507, 509, 0.00014539110206455364, 97.5, 94.8, 1230, null, null, 2007-06-15, 5 yrs., EADS Astrium, France/UK/Germany/Spain, Baikonur Cosmodrome, Dnepr, 2007-026A, 31698, X-band radar system; monitor vegetation and crops across the globe. and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well., null, www.satellitedebris.net 12/12, http://www.spaceflightnow.com/news/n0706/15terrasarx/, http://www.linca.cas.cz/www/space.40/2007/026A.HTM, http://en.wikipedia.org/wiki/TerraSAR-X, null, null, null, 2007, 26, A, null, *, +, TERRASAR-X, GER, 2007-01-15, TYMSC, null, 97.5, null, 510, 507, 2.2673, null
TerraStar 1, USA, USA, TerraStar Corporation, Commercial, Communications, null, GEO, null, -111, 35783, 35791, 0.0000948834120074958, 5.94, 1436.11, 6910, null, null, 2009-07-01, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2009-035A, 35496, Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets., null, SC - ASCR, http://www.spacenews.com/satellite_telecom/ariane-rocket-puts-terrestar-1-into-orbit.html, http://www.terrestar.com/satellite.php, http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html, null, null, null, 2009, 35, A, null, *, +, TERRESTAR-1, US, 2009-01-01, FRGUI, null, 2.5, null, 35800, 35773, 17.2973, null
TET-1 (Technologieerprobungsträger 1. Technology Experiment Carrier), Germany, Germany, German Aerospace Center, Commercial, Technology Development, null, LEO, Sun-Synchronous, 0, 501, 505, 0.00029099374363451185, 97.5, 94.7, 120, null, 20, 2012-07-22, 1 yr., Kayser-Threde GmbH, Germany, Baikonur Cosmodrome, Soyuz-Fregat, 2012-039D, 38710, Center of the OOV (On Orbit Verification) Program. initiated to offer on-orbit verification possibilities to the German industrial and scientific aerospace community., null, www.satellitedebris.net 12/12, http://www.kayser-threde.de/tet/index.html, http://www.dlr.de/sc/en/desktopdefault.aspx/tabid-5139/8653_read-11878/, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012, http://www.tsenki.com/en/launch_services/help_information/launch/2012/?EID=93961, null, null, 2012, 39, D, null, *, +, TET-1, GER, 2012-01-22, TYMSC, null, 97.6, null, 419, 418, 0.3903, null
Thaicom-4 (Ipstar 1. Measat 5), NR, Thailand, Thaicom Public Company Ltd. , Commercial, Communications, null, GEO, null, 119.5, 35775, 35798, 0.0002727930449634101, 0, 1436.1, 6505, null, 14000, 2005-08-11, 12 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5G, 2005-028A, 28786, 84 Ku-band and 18-Ka band transponders. voice. video and broadband to 14 countries. Deal signed with Measat in 2011 - capacity on Thaicom 4 to be marketed in Malaysia as Measat 5., null, JM/12_08, http://www.thaicom.net/enGalaxy-press/news-press.html, http://nssdc.gsfc.nasa/gov/spacewarn/spx622.html, http://www.ipstar.com/en/ipstar_desc.asp, http://www.lib.cas.cz/www/space.40/2005/028A.HTM, http://www.freemalaysiatoday.com/2011/05/30/measat-seals-10-year-broadband-deal-with-thaicom/, null, 2005, 28, A, M, *, +, THAICOM 4, THAI, 2005-01-11, FRGUI, null, 0, null, 35797, 35776, 15.8677, null
Thaicom-5, NR, Thailand, Thaicom Public Company Ltd. , Commercial, Communications, null, GEO, null, 78.54, 35777, 35796, 0.00022535077627412143, 0.04, 1436.1, 2800, 1220, 5000, 2006-05-27, 12 yrs., Alcatel Alenia Space, France, Guiana Space Center, Ariane 5 ECA, 2006-020B, 29163, Television and Internet services to the Asia-Pacific region; 25 C-band and 14 Ku-band transponders., null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/spx631.html, http://www.spaceref.com/news/viewpr.html?pid=17335, http://www.lib.cas.cz/www/space.40/2006/020B.HTM, http://www.arianespace.com/site/news/mission_up_304.html, null, null, 2006, 20, B, null, *, +, THAICOM 5, THAI, 2006-01-27, FRGUI, null, 0, null, 35803, 35771, 34.2637, null
Thaicom-6, NR, Thailand, Thaicom Public Company Ltd. , Commercial, Communications, null, GEO, null, 78.5, 35786, 35796, 0.00011859301249970352, 0.05, 1436.3, 3325, null, null, 2014-01-06, 15 yrs., Orbital Sciences Corp., USA, Cape Canaveral, Falcon 9, 2014-002A, 39500, Comsat to serve the mainland of south east Asia. particularly Thailand. Some services will be provided to east Africa. including Madagascar., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2014/002A.HTM, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 2, A, null, *, +, THAICOM 6, THAI, 2014-01-06, AFETR, null, 0.1, null, 35800, 35770, 12.5893, null
Thaicom-8, NR (6/16), Thailand, Thaicom Public Company Ltd. , Commercial, Communications, null, GEO, null, 78.5, 35843, 35890, 0.0005563907994270359, 0.03, 1440.09, 3025, null, null, 2016-05-27, 15 yrs., Orbital ATK, USA, Cape Canaveral, Falcon 9, 2016-031A, 41552, null, null, Space50, http://spaceflightnow.com/2016/05/27/spacex-logs-successful-late-afternoon-launch-for-thaicom/, http://space50.org/objekt.php?mot=2016-031A&jazyk=pp_en, null, null, null, null, 2016, 31, A, null, *, +, THAICOM 8, THAI, 2016-01-27, AFETR, null, 0.1, null, 35807, 35766, 8.0064, null
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) , USA, Multinational, NASA/University of California. Berkeley (in partnership with Germany. France. Austria. Canada), Government/Civil, Space Science, null, Elliptical, null, 0, 461, 87304, 0.8640664643550072, 15.7, 1868.98, 126, 77, 40, 2007-02-17, 2 yrs., Swales Aerospace, USA, Cape Canaveral, Delta 2, 2007-004A, 30580, Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2., null, SC - ASCR, http://www.swales.com/spacecraft/themis.html, http://ds9.ssl.berkeley.edu/themis/no_flash.html, http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html, http://www.nasa.gov/mission_pages/themis/mission/index.html, null, null, 2007, 4, A, M, *, +, THEMIS A, US, 2007-01-17, AFETR, null, 9, null, 78237, 1117, 0.3981, null
BeeSat-2 (Berlin Experimental and Educational Satellite 2), Germany, Germany, Institut für Luft- und Raumfahrt, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 555, 579, 0.0017298544039210033, 64.8, 96.01, 1, null, null, 2013-04-19, 1 yr., Technische Universität Berlin, Germany, Baikonur Cosmodrome, Soyuz 2.1a, 2013-015G, 39136, Carrying a technology experiment using gyros and sensors for precise orientation., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 2013, 15, G, null, *, +, BEESAT-2, GER, 2013-01-19, TYMSC, null, 64.9, null, 525, 506, 0.047, null
