name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
Proba 2 (Project for On-Board Autonomy), ESA, ESA, European Space Agency (ESA), Government, Technology Demonstration, null, LEO, Sun-Synchronous, 0, 708, 728, 0.0014108352144469526, 98.3, 99.2, 130, null, 86, 2009-11-02, 2 yrs., Verhaert Design and Development NV (leading a European consortium), Belgium, Plesetsk Cosmodrome, Breeze KM, 2009-059B, 36037, Technology demonstration of 17 advanced satellite technologies; will perform 4 experiments., null, www.satellitedebris.net 12/12, http://www.esa.int/esaMI/Proba/index.html, null, http://www.lib.cas.cz/space.40/2009/059B.HTM, null, null, null, 2009, 59, B, M, *, +, PROBA-2, ESA, 2009-01-02, PLMSC, null, 98.2, null, 726, 705, 0.442, null
Proba V (Project for On-Board Autonomy), ESA, ESA, European Space Agency (ESA), Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 813, 820, 0.0004870242816391846, 98.73, 101.21, 140, null, null, 2013-05-07, 2.5 yrs., QinetiQ Space Belgium, Belgium, Guiana Space Center, Vega, 2013-021A, 39159, Map land cover and vegetation growth., null, ZARYA, http://www.esa.int/Our_Activities/Technology/Proba_Missions/About_Proba-V, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, https://directory.eoportal.org/web/eoportal/satellite-missions/p/proba-v, null, null, null, 2013, 21, A, null, *, +, PROBA-V, ESA, 2013-01-07, FRGUI, null, 98.5, null, 818, 813, 0.3352, null
Prometheus 1A, USA, USA, Los Alamos National Laboratory, Military, Technology Development, null, LEO, Non-Polar Inclined, 0, 432, 444, 0.0008813160987074031, 40.51, 94.68, null, null, null, 2013-11-19, null, Los Alamos National Laboratory, USA, Wallops Island Flight Facility, Minotaur 1, 2013-064AC, 39406, 1.5U Cubesat from the Los Alamos National Laboratory. payload unspecified but assessing the operational efffectiveness of a constellation of Cubesats for communications by United States Special Operations Command (SOCOM)., null, WT, http://www.orbital.com/NewsInfo/MissionUpdates/MinotaurI_ORS-3/, http://www.spaceflightinsider.com/space-organizations/orbital-sciences-corporation-space-organizations/ors-3-and-minotaur-1-launch-tiny-cubesats-full-of-big-promise/, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, 2013, 64, AC, null, *, D, PROMETHEUS 1-1, US, 2013-01-20, WLPIS, 2015-01-12, 40.5, null, 180, 167, 0.171, null
Prometheus 4A, USA, USA, Los Alamos National Laboratory, Military, Technology Development, null, LEO, Non-Polar Inclined, 0, 430, 444, 0.001028353165858675, 40.51, 94.68, null, null, null, 2013-11-19, null, Los Alamos National Laboratory, USA, Wallops Island Flight Facility, Minotaur 1, 2013-064V, 39399, null, null, WT, null, null, null, null, null, null, 2013, 64, V, null, *, D, PROMETHEUS 1-7, US, 2013-01-20, WLPIS, 2015-01-05, 40.5, null, 186, 177, 0.172, null
Astra 1L, Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 19.3, 35772, 35798, 0.00030838571936899536, 0.05, 1436.03, 4500, null, 13000, 2007-05-04, 15 yrs., Lockheed Martin Commercial Space Systems, USA, Guiana Space Center, Ariane 5 ECA, 2007-016A, 31306, 29 Ku-band. 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter., null, JM/12_08, http://www.ses-global.com/corpSite/site_en/04_ASTRAFleet/03_satellite_list/astra1l/index.php, http://www.lib.cas.cz/www/space.40/2007/016A.HTM, http://www.space-travel.com/reports/Lockheed_Martin_Built_Astra_1L_Satellite_Ready_For_Launch_999.html, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, null, null, 2007, 16, A, null, *, +, ASTRA 1L, SES, 2007-01-04, FRGUI, null, 0.1, null, 35802, 35772, 18.3351, null
Prometheus 4B, USA, USA, Los Alamos National Laboratory, Military, Technology Development, null, LEO, Non-Polar Inclined, 0, 430, 444, 0.001028353165858675, 40.51, 94.68, null, null, null, 2013-11-19, null, Los Alamos National Laboratory, USA, Wallops Island Flight Facility, Minotaur 1, 2013-064X, 39401, null, null, WT, null, null, null, null, null, null, 2013, 64, X, null, *, D, PROMETHEUS 1-8, US, 2013-01-20, WLPIS, 2015-01-01, 40.5, null, 201, 190, 0.169, null
PropCube-1 (PropCube Merryweather), NR (12/15), USA, Naval Post-Graduate School, Military, Space Science, null, LEO, Non-Polar Inclined, 0, 494, 800, 0.021804189824711415, 64.78, 97.66, 1, null, null, 2015-10-08, null, Tyvak Nano-Satellite Systems, USA, Cape Canaveral, Atlas 5, 2015-058N, 40976, Dual frequency ionospheric calibration measurements., null, JM/12_15, http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/, http://planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 58, N, null, *, +, PROPCUBE 1 (FLORA), US, 2015-01-08, AFWTR, null, null, null, null, null, null, NEA
PropCube-3 (PropCube Flora), NR (12/15), USA, Naval Post-Graduate School, Military, Space Science, null, LEO, Non-Polar Inclined, 0, 493, 800, 0.0218770042043754, 64.78, 97.65, 1, null, null, 2015-10-08, null, Tyvak Nano-Satellite Systems, USA, Cape Canaveral, Atlas 5, 2015-058K, 40973, Dual frequency ionospheric calibration measurements., null, JM/12_15, http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/, http://planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 58, K, M, *, +, PROPCUBE 3, US, 2015-01-08, AFWTR, null, null, null, null, null, null, NEA
PUCPSat-1, NR, Peru, Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP), Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 589, 640, 0.00365094137017682, 97.8, 96.9, 1, null, null, 2013-11-21, null, Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP), Peru, Dombarovsky Air Base, Dnepr, 2013-066AC, 39442, Carries equipment to measure temperature., null, ZARYA, http://inras.pucp.edu.pe/pucpsat1/, null, null, null, null, null, 2013, 66, AC, null, *, -, PUCP-SAT 1, PERU, 2013-01-21, DLS, null, 97.6, null, 619, 573, 0.071, null
Pujiang-1, NR (12/15), China, Shanghai Academy of Space Technology (SAST), Government, Technology Development, null, LEO, Sun-Synchronous, 0, 468, 486, 0.0013144442821673725, 97.31, 94.14, null, null, null, 2015-09-24, null, Shanghai Academy of Space Flight Technology, China, Jiuquan Satellite Launch Center, Long March 11, 2015-051A, 40925, Satellite to help China plan smart cities; first satellite launched using 3D-printed parts., null, JM/12_15, http://www.planet4589.org/space/log/satcat.txt, http://inside3dprinting.com/first-chinese-satellite-with-3d-printed-parts-is-launched/, null, null, null, null, 2015, 51, A, null, *, +, PUJIANG 1 (PJ-1), PRC, 2015-01-25, JSC, null, 97.2, null, 474, 459, 0.8531, null
